Max: 200038996 Min: 2
MaxVal: 200038996.228362 MinVal: 2.000144
---   *     |---------   , 0.011381,  0.129803,  0.234755,  0.464420,  0.828978
-  *      --|-------     , 0.010636,  0.045009,  0.149494,  0.404946,  0.804133
-    *     -|--------    , 0.004590,  0.075685,  0.226918,  0.445610,  0.837734
---   * ----|-------     , 0.029561,  0.123051,  0.272374,  0.324129,  0.811769
-     *     |----------  , 0.000412,  0.062388,  0.262944,  0.479442,  0.926844
-    *     -|------      , 0.015877,  0.064444,  0.234963,  0.469527,  0.790397
-   *     --|---         , 0.007540,  0.046911,  0.162872,  0.406065,  0.640047
-   *     --|---         , 0.003480,  0.041552,  0.175786,  0.395990,  0.648831
-    *    --|---------   , 0.019026,  0.053442,  0.199729,  0.417933,  0.888488
---    *    |--------    , 0.020714,  0.117663,  0.290276,  0.476456,  0.788491
--  *      -|-----       , 0.009395,  0.098138,  0.186762,  0.452288,  0.719548
-   *  -----|-           , 0.012175,  0.066044,  0.175075,  0.291024,  0.564743
-   *     --|------      , 0.009015,  0.053589,  0.168400,  0.406893,  0.739236
-     *    -|------      , 0.005366,  0.054815,  0.228047,  0.443802,  0.726232

Max: 200039710 Min: 2
MaxVal: 200039710.424129 MinVal: 2.000059
-    *     -|-------     , 0.008264,  0.079388,  0.204172,  0.475877,  0.828355
-    *      | --------   , 0.003346,  0.069215,  0.203815,  0.552366,  0.890270
---  *      |--------    , 0.013533,  0.116212,  0.224288,  0.519901,  0.826614
---  *   ---|---         , 0.033033,  0.125486,  0.238678,  0.376554,  0.649742
-    *      |-----       , 0.000557,  0.075120,  0.216499,  0.495020,  0.739615
---     *  -|----------  , 0.035642,  0.125375,  0.306452,  0.430005,  0.849142
-   *       | --------   , 0.019760,  0.072825,  0.165033,  0.564340,  0.845182
--     *    |------      , 0.007990,  0.102780,  0.274940,  0.481484,  0.737942
-     *     |  --------  , 0.002551,  0.051773,  0.237325,  0.599502,  0.905866
---   *    -|--------    , 0.009910,  0.134122,  0.257582,  0.429485,  0.820600
--   *     -|------      , 0.015292,  0.095859,  0.216454,  0.455553,  0.774027
-     *    -|--------    , 0.006897,  0.064132,  0.240279,  0.420945,  0.802105
----   *  --|-------     , 0.028142,  0.156150,  0.299330,  0.406777,  0.803405
-   *       |-----       , 0.000431,  0.051773,  0.192311,  0.503656,  0.736162
-   *    ---|------      , 0.000756,  0.040517,  0.157561,  0.358119,  0.712716
--     *    | -------    , 0.005353,  0.113182,  0.291853,  0.568029,  0.846572
  *      ---|------      , 0.003960,  0.019792,  0.110596,  0.375425,  0.762003
--     *    |------      , 0.012831,  0.084528,  0.276848,  0.505314,  0.749494
----    *   | ------     , 0.024599,  0.155213,  0.319766,  0.554791,  0.776008
--      *   |   -----    , 0.006135,  0.097800,  0.280324,  0.554250,  0.732232

Max: 200038513 Min: 2
MaxVal: 200038513.248233 MinVal: 2.000276
--   *     -|-------     , 0.008264,  0.084113,  0.204172,  0.470278,  0.796851
---      *  |-------     , 0.009613,  0.110599,  0.340234,  0.500023,  0.750650
----    *   | -------    , 0.020490,  0.172991,  0.320741,  0.560354,  0.837112
-    *    --|------      , 0.004973,  0.068360,  0.219553,  0.401221,  0.748709
---    *   -|------      , 0.017968,  0.134336,  0.276271,  0.467258,  0.750672
-   *     --|------      , 0.003082,  0.071136,  0.166110,  0.403117,  0.759268
-      *    |------      , 0.006272,  0.076887,  0.312524,  0.486233,  0.789599
-  *        |------      , 0.002820,  0.051031,  0.147238,  0.475807,  0.728152
-    *    --|-------     , 0.004035,  0.072092,  0.225436,  0.394500,  0.773500
-   *       |--------    , 0.016990,  0.057153,  0.172746,  0.499635,  0.834689
--      *   |  --------  , 0.009331,  0.113772,  0.326986,  0.601392,  0.908869
-     *     |---------   , 0.004929,  0.063092,  0.254600,  0.488894,  0.856385
---    *  --|---------   , 0.015409,  0.141302,  0.274491,  0.424400,  0.854958
-  *       -|---------   , 0.015570,  0.061448,  0.150201,  0.438371,  0.888769
-     *    -|---------   , 0.016309,  0.066402,  0.266606,  0.446573,  0.857312
  *     ----|------      , 0.003668,  0.025846,  0.117526,  0.335603,  0.773147
-    *      | ---------  , 0.009203,  0.068673,  0.225453,  0.550297,  0.905110
-   *     --|-------     , 0.000901,  0.046200,  0.166307,  0.409737,  0.792868
---    *    |------      , 0.023574,  0.127631,  0.294870,  0.462247,  0.744782
--         *|  ------    , 0.008457,  0.078092,  0.441302,  0.622744,  0.845483

Max: 200039426 Min: 2
MaxVal: 200039426.266369 MinVal: 2.000000
--   *     -|-------     , 0.007546,  0.080172,  0.204172,  0.463776,  0.796851
-    *      |---------   , 0.000551,  0.058483,  0.237060,  0.527789,  0.879089
-  *        |-------     , 0.004749,  0.069638,  0.140214,  0.508615,  0.788188
- *     ----|-----       , 0.011171,  0.058001,  0.089567,  0.318068,  0.742690
--   *    --|--------    , 0.004487,  0.075848,  0.189198,  0.402186,  0.801190
--    *    -|---------   , 0.016127,  0.072707,  0.249575,  0.434587,  0.804483
--     *    |------      , 0.004487,  0.107814,  0.273467,  0.440697,  0.721137
--    *    -|--------    , 0.003620,  0.092150,  0.237821,  0.402442,  0.759442
-    *      |-------     , 0.006801,  0.055372,  0.214107,  0.474916,  0.808172
 --    *    |    ----    , 0.040466,  0.149490,  0.282040,  0.688537,  0.854369
-   *     --|------      , 0.001699,  0.072503,  0.179889,  0.389160,  0.759037
- *     ----|---------   , 0.002267,  0.043988,  0.108876,  0.342181,  0.890681
---    *    |---------   , 0.038082,  0.133626,  0.280079,  0.497580,  0.856503
--    *    -|-----       , 0.007128,  0.087989,  0.252474,  0.451683,  0.730465
--  *    ---|--------    , 0.014677,  0.080955,  0.175866,  0.373911,  0.831745
-     *   --|-----       , 0.001036,  0.050497,  0.239309,  0.388165,  0.720889
-    *    --|----------  , 0.011598,  0.064973,  0.206608,  0.398146,  0.911228
-     *   --|--------    , 0.001130,  0.077590,  0.250555,  0.416512,  0.836766
-  *      --|----------- , 0.002934,  0.039853,  0.151106,  0.401636,  0.960058
-    *     -|---------   , 0.002393,  0.049364,  0.235940,  0.465421,  0.897430

Max: 200037866 Min: 2
MaxVal: 200037866.808338 MinVal: 2.000207
-    *     -|------      , 0.007357,  0.069351,  0.201189,  0.452564,  0.783359
--   *   ---|----------- , 0.018680,  0.096927,  0.212921,  0.355716,  0.924748
-     *    -|------      , 0.017642,  0.060531,  0.241393,  0.457524,  0.787180
--    *     |--------    , 0.011829,  0.103911,  0.256380,  0.472430,  0.800497
-   *       |----------  , 0.006681,  0.058003,  0.149977,  0.435309,  0.828467
-    *    --|-----       , 0.010547,  0.066507,  0.194209,  0.399184,  0.705009
   *      --|--------    , 0.005910,  0.030435,  0.141517,  0.409021,  0.842974
